Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit,2021-22
New South Wales,1,Environment,Environment,Supply,Self-extracted,ML,"16,242,216.64"
New South Wales,1,Total,Total,Supply,Self-extracted,ML,"16,242,216.64"
New South Wales,1,Electricity and gas supply,D,Supply,Distributed,ML,8.554.267
New South Wales,1,"Water supply, sewerage and drainage services",D,Supply,Distributed,ML,"4,895,469.70"
New South Wales,1,"Total Electricity, gas, water and waste services",D,Supply,Distributed,ML,"4,896,325.13"
New South Wales,1,Total industry,Total industry,Supply,Distributed,ML,"4,899,644.07"
New South Wales,1,Total,Total,Supply,Distributed,ML,"4,899,644.07"
New South Wales,1,Total,Total,Supply,Wastewater (a),ML,"969,287.00"
New South Wales,1,Electricity and gas supply,D,Supply,Reuse,ML,477.483
New South Wales,1,"Water supply, sewerage and drainage services",D,Supply,Reuse,ML,"60,227.00"
New South Wales,1,"Waste collection, treatment and disposal services",D,Supply,Reuse,ML,1.2658
New South Wales,1,"Total Electricity, gas, water and waste services",D,Supply,Reuse,ML,"60,276.01"
New South Wales,1,Total industry,Total industry,Supply,Reuse,ML,"64,668.99"
New South Wales,1,Total,Total,Supply,Reuse,ML,"64,668.99"
New South Wales,1,Electricity and gas supply,D,Supply,Return flows (b),ML,"10,455,474.21"
New South Wales,1,"Water supply, sewerage and drainage services",D,Supply,Return flows (b),ML,"873,308.00"
New South Wales,1,"Waste collection, treatment and disposal services",D,Supply,Return flows (b),ML,279.824
New South Wales,1,"Total Electricity, gas, water and waste services",D,Supply,Return flows (b),ML,"11,328,810.19"
New South Wales,1,Total industry,Total industry,Supply,Return flows (b),ML,"11,390,989.80"
New South Wales,1,Total,Total,Supply,Return flows (b),ML,"11,390,989.80"
New South Wales,1,"Agriculture, forestry and fishing (d)",A,Use,Surface water,ML,"288,987.73"
New South Wales,1,Mining,B,Use,Surface water,ML,"79,216.74"
New South Wales,1,Manufacturing,C,Use,Surface water,ML,"34,642.09"
New South Wales,1,Electricity and gas supply,D,Use,Surface water,ML,"10,455,437.00"
New South Wales,1,"Water supply, sewerage and drainage services",D,Use,Surface water,ML,"4,822,088.70"
New South Wales,1,"Waste collection, treatment and disposal services",D,Use,Surface water,ML,373.859
New South Wales,1,"Total Electricity, gas, water and waste services",D,Use,Surface water,ML,"15,277,563.09"
New South Wales,1,Other industries,E -S,Use,Surface water,ML,"53,780.52"
New South Wales,1,Total industry,Total industry,Use,Surface water,ML,"15,734,190.16"
New South Wales,1,Total,Total,Use,Surface water,ML,"15,734,190.16"
New South Wales,1,"Agriculture, forestry and fishing (d)",A,Use,Groundwater,ML,"369,560.64"
New South Wales,1,Mining,B,Use,Groundwater,ML,"38,126.30"
New South Wales,1,Manufacturing,C,Use,Groundwater,ML,"13,195.54"
New South Wales,1,"Water supply, sewerage and drainage services",D,Use,Groundwater,ML,"51,073.00"
New South Wales,1,"Total Electricity, gas, water and waste services",D,Use,Groundwater,ML,"51,104.61"
New South Wales,1,Other industries,E -S,Use,Groundwater,ML,"13,731.39"
New South Wales,1,Total industry,Total industry,Use,Groundwater,ML,"485,718.48"
New South Wales,1,Total,Total,Use,Groundwater,ML,"485,718.48"
New South Wales,1,"Total Electricity, gas, water and waste services",D,Use,Sea water for desalination,ML,"22,308.00"
New South Wales,1,Total industry,Total industry,Use,Sea water for desalination,ML,"22,308.00"
New South Wales,1,Total,Total,Use,Sea water for desalination,ML,"22,308.00"
